Candidate ID=36068, InsertionTime=0.135501ns
Candidate ID=15083, InsertionTime=8.81367ns
Candidate ID=23067, InsertionTime=0.25863ns
Candidate ID=45039, InsertionTime=8.63778ns
Candidate ID=16940, InsertionTime=24.3278ns
Candidate ID=770, InsertionTime=9.18719ns
Candidate ID=21054, InsertionTime=0.146056ns
Candidate ID=26935, InsertionTime=0.165812ns
Candidate ID=16050, InsertionTime=8.75671ns
Candidate ID=27642, InsertionTime=0.097164ns
Candidate ID=43294, InsertionTime=9.31812ns
Candidate ID=6105, InsertionTime=0.133337ns
Candidate ID=10879, InsertionTime=0.127405ns
Candidate ID=20118, InsertionTime=8.89621ns
Candidate ID=19568, InsertionTime=0.203617ns
Candidate ID=51564, InsertionTime=0.186428ns
Candidate ID=36661, InsertionTime=15.0456ns
Candidate ID=11120, InsertionTime=24.3518ns
Candidate ID=38190, InsertionTime=8.54663ns
Candidate ID=12059, InsertionTime=0.636287ns
Candidate ID=45717, InsertionTime=8.66986ns
Candidate ID=36399, InsertionTime=0.41791ns
Candidate ID=46611, InsertionTime=8.46463ns
Candidate ID=32693, InsertionTime=0.937315ns
Candidate ID=2411, InsertionTime=0.154244ns
Candidate ID=48783, InsertionTime=0.424583ns
Candidate ID=22364, InsertionTime=0.207834ns
Candidate ID=10672, InsertionTime=0.148041ns
Candidate ID=9172, InsertionTime=0.226717ns
Candidate ID=1268, InsertionTime=0.138ns
Candidate ID=15802, InsertionTime=8.70696ns
Candidate ID=42849, InsertionTime=0.192912ns
Candidate ID=48900, InsertionTime=0.278146ns
Candidate ID=25637, InsertionTime=15.2467ns
Candidate ID=41691, InsertionTime=8.55918ns
Candidate ID=28217, InsertionTime=15.7792ns
Candidate ID=9875, InsertionTime=0.14014ns
Candidate ID=690, InsertionTime=25.6639ns
Candidate ID=16433, InsertionTime=8.86646ns
Candidate ID=11330, InsertionTime=8.69296ns
Candidate ID=6818, InsertionTime=15.284ns
Candidate ID=26546, InsertionTime=7.71896ns
Candidate ID=10370, InsertionTime=0.231061ns
Candidate ID=37363, InsertionTime=7.57402ns
Candidate ID=30724, InsertionTime=15.0975ns
Candidate ID=35318, InsertionTime=15.815ns
Candidate ID=11757, InsertionTime=0.191853ns
Candidate ID=10045, InsertionTime=0.286018ns
Candidate ID=33808, InsertionTime=7.45972ns
Candidate ID=39174, InsertionTime=7.4195ns
Candidate ID=32849, InsertionTime=15.1061ns
Candidate ID=38544, InsertionTime=0.209622ns
Candidate ID=53987, InsertionTime=7.4236ns
Candidate ID=23143, InsertionTime=0.1966ns
Candidate ID=21383, InsertionTime=7.55726ns
Candidate ID=23602, InsertionTime=0.351905ns
Candidate ID=32071, InsertionTime=7.40516ns
Candidate ID=43538, InsertionTime=0.23213ns
Candidate ID=53656, InsertionTime=14.9534ns
Candidate ID=21472, InsertionTime=0.281942ns
Candidate ID=18953, InsertionTime=6.95804ns
Candidate ID=52613, InsertionTime=0.170757ns
Candidate ID=19153, InsertionTime=0.237103ns
